"country","name","r.country","r.name","wgs84distance"
"MA","Tánger Ville-Barco","FI","Kemijärvi",4042
"MA","Tánger Med-Barco","FI","Kemijärvi",4024
"FI","Kemijärvi","ES","Ceuta-Barco",4015
"MA","Tánger Ville-Barco","FI","Misi",4011
"PT","Lagos","FI","Kemijärvi",4004
"PT","Portimão","FI","Kemijärvi",3996
"FI","Kemijärvi","ES","Algeciras",3996
"MA","Tánger Med-Barco","FI","Misi",3992
"ES","Los Barrios","FI","Kemijärvi",3991
"PT","Silves","FI","Kemijärvi",3989
"ES","La Hoya (Cádiz)","FI","Kemijärvi",3989
"ES","Pelagatos","FI","Kemijärvi",3989
"ES","Reyes Católicos","FI","Kemijärvi",3989
"FI","Kemijärvi","PT","Faro",3988
"FI","Kemijärvi","ES","Alameda Solano",3988
"ES","Nuestra Señora de Los Remedios","FI","Kemijärvi",3988
"FI","Kemijärvi","PT","Albufeira",3987
"ES","Río Arillo","FI","Kemijärvi",3987
"ES","Marquesado","FI","Kemijärvi",3987
"ES","Santo Entierro","FI","Kemijärvi",3987
"ES","La Ardila","FI","Kemijärvi",3987
"ES","San Roque – La Línea","FI","Kemijärvi",3986
"FI","Kemijärvi","ES","Compañía de Maria",3986
"ES","Pinar de los Franceses","FI","Kemijärvi",3986
"ES","Plaza del Rey","FI","Kemijärvi",3986
"ES","Plaza del Carmen","FI","Kemijärvi",3986
"ES","San Fernando-Bahía Sur","FI","Kemijärvi",3985
"ES","Tres Caminos","FI","Kemijärvi",3985
"FI","Kemijärvi","ES","Cádiz-Cortadura",3985
"ES","Plaza de la Iglesia","FI","Kemijärvi",3985
"ES","Venta de Vargas","FI","Kemijärvi",3985
"ES","San Fernando de Cádiz","FI","Kemijärvi",3984
"FI","Kemijärvi","ES","Cádiz-Estadio",3984
"FI","Misi","ES","Ceuta-Barco",3984
"ES","Segunda Aguada","FI","Kemijärvi",3983
"ES","San Severiano","FI","Kemijärvi",3982
"FI","Kemijärvi","ES","Cádiz",3982
"MA","Tánger Ville-Barco","FI","Kolari",3979
"FI","Kemijärvi","ES","Almoraima",3979
"ES","Universidad (Cádiz)","FI","Kemijärvi",3979
"ES","Puerto Real","FI","Kemijärvi",3978
"ES","Las Aletas","FI","Kemijärvi",3977
"ES","Valdelagrana","FI","Kemijärvi",3974
"FI","Kemijärvi","ES","El Puerto de Santa María",3972
"FI","Misi","PT","Lagos",3972
"MA","Tánger Ville-Barco","FI","Rovaniemi",3970
"PT","Portimão","FI","Misi",3964
"FI","Kemijärvi","ES","Jimena de la Frontera",3964
"FI","Misi","ES","Algeciras",3964
"MA","Tánger Med-Barco","FI","Kolari",3962
"FI","Kemijärvi","ES","Jerez de la Frontera",3961
"FI","Misi","ES","Los Barrios",3960
"ES","San Pablo de Buceite","FI","Kemijärvi",3959
"FI","Misi","ES","La Hoya (Cádiz)",3958
"ES","Pelagatos","FI","Misi",3958
"PT","Silves","FI","Misi",3957
"ES","Nuestra Señora de Los Remedios","FI","Misi",3957
"ES","Reyes Católicos","FI","Misi",3957
"FI","Misi","PT","Faro",3956
"FI","Misi","ES","Marquesado",3956
"FI","Misi","ES","Alameda Solano",3956
"ES","Río Arillo","FI","Misi",3956
"ES","San Roque – La Línea","FI","Misi",3955
"FI","Misi","PT","Albufeira",3955
"FI","Misi","ES","La Ardila",3955
"ES","Pinar de los Franceses","FI","Misi",3955
"ES","Santo Entierro","FI","Misi",3955
"ES","Plaza del Carmen","FI","Misi",3955
"ES","San Fernando-Bahía Sur","FI","Misi",3954
"FI","Kemijärvi","ES","Estepona-Bus",3954
"FI","Kolari","ES","Ceuta-Barco",3954
"FI","Misi","ES","Compañía de Maria",3954
"ES","Plaza de la Iglesia","FI","Misi",3954
"ES","Plaza del Rey","FI","Misi",3954
"ES","San Fernando de Cádiz","FI","Misi",3953
"ES","Tres Caminos","FI","Misi",3953
"FI","Misi","ES","Cádiz-Cortadura",3953
"ES","Venta de Vargas","FI","Misi",3953
"ES","Segunda Aguada","FI","Misi",3952
"MA","Tánger Med-Barco","FI","Rovaniemi",3952
"FI","Kemijärvi","ES","Jerez-Aeropuerto",3952
"FI","Misi","ES","Cádiz-Estadio",3952
"PT","Vila Real de San António Guad","FI","Kemijärvi",3951
"ES","San Severiano","FI","Misi",3951
"FI","Kemijärvi","ES","Gaucin",3951
"FI","Misi","ES","Cádiz",3950
"MA","Tánger Ville-Barco","FI","Muurola",3949
"FI","Kemijärvi","ES","Ayamonte",3949
"FI","Misi","ES","Almoraima",3948
"ES","Puerto Real","FI","Misi",3947
"ES","Universidad (Cádiz)","FI","Misi",3947
"FI","Misi","ES","Las Aletas",3946
"FI","Kemijärvi","ES","Cortes de la Frontera",3943
"FI","Rovaniemi","ES","Ceuta-Barco",3943
"ES","Valdelagrana","FI","Misi",3942
"FI","Misi","ES","El Puerto de Santa María",3940
"MA","Tánger Ville-Barco","FI","Pello",3938
"ES","Marbella-Bus","FI","Kemijärvi",3937
"FI","Kemijärvi","ES","Jimera de Libar",3935
"ES","Lebrija","FI","Kemijärvi",3934
